term,stem,count,x,y,z,x,y,sample_size,ratio,google_w2v_x,google_w2v_y,,180,260
billionaire,billionair,7,,,,,,1000,0.007,-0.575754926,0.099462896,,,
beating,beat,7,,,,,,1000,0.007,-0.537371094,0.560804348,,,
washington,washington,6,,,,,,1000,0.006,2.127708605,-0.169460483,,,
warns,warn,6,,,,,,1000,0.006,-0.382670467,-0.53516615,,,
sydney,sydney,6,,,,,,1000,0.006,2.095441678,-0.185152163,,,
state's,state,6,,,,,,1000,0.006,-0.407702658,-0.496442211,,,
sox,sox,6,,,,,,1000,0.006,1.339310044,0.334251962,,,
scientific,scientif,6,,,,,,1000,0.006,-0.413467091,-0.449783012,,,
revenue,revenu,6,,,,,,1000,0.006,-0.7641695,-0.896135405,,,
regulator,regul,6,,,,,,1000,0.006,-0.550042458,-0.462657743,,,
outlets,outlet,6,,,,,,1000,0.006,-0.583671714,-0.467335496,,,
offense,offens,6,,,,,,1000,0.006,-0.650832969,1.031354325,,,
newswire,newswir,6,,,,,,1000,0.006,-0.076431152,-0.605448975,,,
monitoring,monitor,6,,,,,,1000,0.006,-0.675158791,-0.722506568,,,
ministry,ministri,6,,,,,,1000,0.006,-0.623890607,-0.085559671,,,
john,john,6,,,,,,1000,0.006,1.585004535,0.283140771,,,
joe,joe,6,,,,,,1000,0.006,1.519021266,0.238316629,,,
jersey,jersey,6,,,,,,1000,0.006,-0.136162608,0.87823724,,,
investments,invest,6,,,,,,1000,0.006,-0.830364099,-0.767939102,,,
innovations,innov,6,,,,,,1000,0.006,-0.611914444,-1.0137077,,,
iconic,icon,6,,,,,,1000,0.006,-0.625832061,-0.138610082,,,
getty,getti,6,,,,,,1000,0.006,0.193236088,0.122957909,,,
facebook,facebook,6,,,,,,1000,0.006,0.77511882,0.15043839,,,
education,educ,6,,,,,,1000,0.006,-0.480943798,-0.101048808,,,
economic,econom,6,,,,,,1000,0.006,-0.614221405,-0.389866834,,,
donations,donat,6,,,,,,1000,0.006,-0.824749012,0.040887209,,,
donald,donald,6,,,,,,1000,0.006,1.301509222,0.343235042,,,
dijk,dijk,6,,,,,,1000,0.006,,,,,
cruise,cruis,6,,,,,,1000,0.006,-0.414282335,0.075912756,,,
constitution,constitut,6,,,,,,1000,0.006,-0.40788111,0.483086315,,,
complaint,complaint,6,,,,,,1000,0.006,-0.720270843,0.104185875,,,
ap,ap,6,,,,,,1000,0.006,1.269018127,-0.035487077,,,
announces,announc,6,,,,,,1000,0.006,-0.214223426,-1.038802805,,,
amazon,amazon,6,,,,,,1000,0.006,1.409132672,-0.217893339,,,
airline,airlin,6,,,,,,1000,0.006,-0.644659654,-0.018372107,,,
agreement,agreement,6,,,,,,1000,0.006,-0.887913528,-0.464936029,,,
zone,zone,5,,,,,,1000,0.005,-0.487779751,0.248398112,,,
women's,women,5,,,,,,1000,0.005,0.393935006,0.093830746,,,
welcomed,welcom,5,,,,,,1000,0.005,-0.826337872,-0.227801508,,,
virgil,virgil,5,,,,,,1000,0.005,,,,,
university,univers,5,,,,,,1000,0.005,-0.526635851,0.13951121,,,
tumor,tumor,5,,,,,,1000,0.005,-0.444502075,0.450675584,,,
transport,transport,5,,,,,,1000,0.005,-0.400454682,-0.259779452,,,
thanksgiving,thanksgiv,5,,,,,,1000,0.005,0.0683062,0.599876686,,,
territories,territori,5,,,,,,1000,0.005,-0.476286571,-0.744756111,,,
technologies,technolog,5,,,,,,1000,0.005,-0.565581684,-1.072533956,,,
taxes,tax,5,,,,,,1000,0.005,-0.501926715,-0.053221996,,,
struggled,struggl,5,,,,,,1000,0.005,-0.897658489,0.223857469,,,
spark,spark,5,,,,,,1000,0.005,-0.762825678,0.177375586,,,
senate,senat,5,,,,,,1000,0.005,-0.155814867,0.416631985,,,
san,san,5,,,,,,1000,0.005,1.030968099,-0.078864229,,,
ryan,ryan,5,,,,,,1000,0.005,2.38881657,0.271796395,,,
roosevelt,roosevelt,5,,,,,,1000,0.005,0.406007108,-0.050622429,,,
reuters,reuter,5,,,,,,1000,0.005,1.07453022,-0.161292781,,,
rescue,rescu,5,,,,,,1000,0.005,-0.438257215,0.217080177,,,
reporting,report,5,,,,,,1000,0.005,-0.509452813,-0.540007005,,,
releases,releas,5,,,,,,1000,0.005,-0.308648955,-0.872330621,,,
portfolio,portfolio,5,,,,,,1000,0.005,-0.67672931,-0.853410233,,,
partners,partner,5,,,,,,1000,0.005,-0.774760886,-0.779253563,,,
options,option,5,,,,,,1000,0.005,-0.545030294,-0.52691581,,,
northern,northern,5,,,,,,1000,0.005,-0.468868865,0.016705221,,,
newtek,newtek,5,,,,,,1000,0.005,,,,,
newcastle,newcastl,5,,,,,,1000,0.005,1.865683886,0.294918224,,,
michigan,michigan,5,,,,,,1000,0.005,2.178827977,-0.343045319,,,
manila,manila,5,,,,,,1000,0.005,0.561427746,0.112925342,,,
investigating,investig,5,,,,,,1000,0.005,-0.756697202,-0.035358615,,,
introduce,introduc,5,,,,,,1000,0.005,-0.699760159,-0.762850268,,,
inquiry,inquiri,5,,,,,,1000,0.005,-0.844467949,0.0919041,,,
hotel,hotel,5,,,,,,1000,0.005,-0.507180874,0.139777723,,,
highlight,highlight,5,,,,,,1000,0.005,-0.654767366,-0.410374227,,,
globe,globe,5,,,,,,1000,0.005,-0.398982355,-0.729397699,,,
german,german,5,,,,,,1000,0.005,1.784832892,-0.539026502,,,
fox,fox,5,,,,,,1000,0.005,0.212532994,0.62490984,,,
families,famili,5,,,,,,1000,0.005,-0.740644391,0.039192656,,,
fake,fake,5,,,,,,1000,0.005,-0.155363585,0.132863683,,,
entrepreneurs,entrepreneur,5,,,,,,1000,0.005,-0.675485019,-0.290452987,,,
english,english,5,,,,,,1000,0.005,1.4908486,-0.071242387,,,
emperor,emperor,5,,,,,,1000,0.005,0.011297846,0.640162696,,,
district,district,5,,,,,,1000,0.005,-0.55506996,0.374201492,,,
disney,disney,5,,,,,,1000,0.005,1.731374378,-0.163737297,,,
discovered,discov,5,,,,,,1000,0.005,-0.470596736,-0.201407411,,,
de,de,5,,,,,,1000,0.005,0.404962253,-0.234217225,,,
crisis,crisi,5,,,,,,1000,0.005,-0.62426747,-0.125823872,,,
crime,crime,5,,,,,,1000,0.005,-0.388066617,0.439927066,,,
country's,countri,5,,,,,,1000,0.005,0.264803341,-0.429816538,,,
corridor,corridor,5,,,,,,1000,0.005,-0.623157539,0.033047823,,,
company's,compani,5,,,,,,1000,0.005,-0.020016546,-0.798644345,,,
commitment,commit,5,,,,,,1000,0.005,-0.81326275,-0.566002958,,,
commission,commiss,5,,,,,,1000,0.005,-0.668705783,-0.037386902,,,
college,colleg,5,,,,,,1000,0.005,-0.337543211,0.328750468,,,
clash,clash,5,,,,,,1000,0.005,-0.681617379,0.599906003,,,
challenges,challeng,5,,,,,,1000,0.005,-0.899565017,-0.518459212,,,
caribbean,caribbean,5,,,,,,1000,0.005,1.330246781,-0.385670354,,,
campaign,campaign,5,,,,,,1000,0.005,-0.724458274,0.049941222,,,
cab,cab,5,,,,,,1000,0.005,-0.241214557,0.349482698,,,
bushfires,bushfir,5,,,,,,1000,0.005,-0.308129843,0.45503922,,,
boston,boston,5,,,,,,1000,0.005,2.153211737,-0.24432131,,,
biden,biden,5,,,,,,1000,0.005,1.256895867,0.328850389,,,
ban,ban,5,,,,,,1000,0.005,-0.604639838,-0.011159425,,,
ayodhya,ayodhya,5,,,,,,1000,0.005,,,,,
assembly,assembl,5,,,,,,1000,0.005,-0.495990688,-0.020727382,,,
angeles,angel,5,,,,,,1000,0.005,0.524791871,-0.032034282,,,
anfield,anfield,5,,,,,,1000,0.005,0.85184553,0.414664531,,,
andrew,andrew,5,,,,,,1000,0.005,2.223881818,-0.05065762,,,
afp,afp,5,,,,,,1000,0.005,0.768417435,0.069853446,,,
acres,acr,5,,,,,,1000,0.005,-0.741655335,0.364389263,,,
youtube's,youtub,4,,,,,,1000,0.004,,,,,
year's,year,4,,,,,,1000,0.004,-0.646681183,-0.144351647,,,
world's,world,4,,,,,,1000,0.004,-0.293816665,-0.418516717,,,
william,william,4,,,,,,1000,0.004,2.264516309,-0.128147637,,,
wars,war,4,,,,,,1000,0.004,-0.112713699,-0.083901128,,,
verdict,verdict,4,,,,,,1000,0.004,-0.70697199,0.459502541,,,
vaping,vape,4,,,,,,1000,0.004,-0.258411608,-0.285372741,,,
unveiled,unveil,4,,,,,,1000,0.004,-0.658082475,-0.72961675,,,
twitter,twitter,4,,,,,,1000,0.004,0.685233193,0.077545747,,,
toronto,toronto,4,,,,,,1000,0.004,1.888630415,-0.20106334,,,
tom,tom,4,,,,,,1000,0.004,1.212627432,0.389226425,,,
tokyo,tokyo,4,,,,,,1000,0.004,1.424445599,-0.38380254,,,
ties,tie,4,,,,,,1000,0.004,-0.728330048,-0.147170713,,,
thomas,thoma,4,,,,,,1000,0.004,2.134959356,0.223588834,,,
terminal,termin,4,,,,,,1000,0.004,-0.463474862,-0.155113908,,,
tennessee,tennesse,4,,,,,,1000,0.004,1.766223799,-0.2583543,,,
targets,target,4,,,,,,1000,0.004,-0.725617179,-0.569493263,,,
supporters,support,4,,,,,,1000,0.004,-0.635440355,0.481797546,,,
